Phenotype,Pre_Action_Gap_(A-C)_Mean,Pre_Action_Gap_(A-C)_SE,Pre_Critic_Value_C_Mean,Pre_Critic_Value_C_SE,Post_Action_Gap_(A-C)_Mean,Post_Action_Gap_(A-C)_SE,Post_Critic_Value_A_Mean,Post_Critic_Value_A_SE,Post_Rep_Distance_A_C_Mean,Post_Rep_Distance_A_C_SE
Healthy_Baseline,0.6104354467504548,0.011681887748868098,-0.018496067546473247,0.007681479430771616,-0.6400665275277981,0.030126228446657088,-0.008709768038097804,0.003485016343720814,7.732114,0.2729972
PD_Untreated,0.43405172510072587,0.08133123640115146,-0.0472467876944206,0.006689021480328685,-0.5240029046730384,0.013308223143715369,-0.039577663438817315,0.0017479868674739921,6.8527427,0.18618703
PD_LDOPA,0.36409762881052515,0.028606436179067853,0.27000543660660375,0.0396970986826271,-0.23427872968974578,0.10311825605545367,0.20656252573970155,0.06250565562976888,6.767494,0.5438887
